species,common,family,author,status,states,native,shape,pupa,height,width,whorls,whorl_method,perforate,imperforate,umbilicate,rimate,lip_reflected,deflected,teeth,parietal,palatal,columellar,basal,ovate,lunate,slit,flattened,shouldered,moderately_shouldered,rounded,spiral_striae,lirate,axial_striae,axial_ridges,lamellar_ribs,wrinkles,malleations,papillae,puncta,hairs,blotches,bands,operculum,pedal,shell_color,notes
Hendersonia occulta,Cherrystone Drop,Helicinidae,"(Say, 1831) ",G4,"VA,WI,WV,ON,IA,IL,IN,KS,KY,MD,MI,MN,MO,MS,NC,NE,OH,PA,TN",y,Globose Heliciform,,"4.1,6","6,8","4.5,5",,n,y,n,n,y,,n,,,,,n,y,n,n,y,y,n,y,n,n,n,,,,n,n,n,n,n,y,n,,An operculate snail with sessile eyes.
Carychium exiguum,Obese Thorn,Carychiidae,"(Say, 1822) ",G5,"AB,NB,NS,ON,QC,NF,CO,DE,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,NC,NE,NJ,NM,NY,OH,OK,PA,SC,SD,TN,TX,VA,VT,WI,WV",y,Pupa,,"1.8,2","0.7,0.8","4.5,4.5",,n,n,n,y,y,,y,,,,,y,n,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,y,n,,
Carychium exile,Ice Thorn,Carychiidae,"I. Lea, 1842 ",G5,"AB,NS,ON,QC,AL,AR,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NJ,NY,OH,OK,PA,SC,SD,TN,VA,VT,WI,WV",y,Pupa,,"1.7,1.75","0.6,0.6","5,5.5",,n,n,n,y,y,,y,,,,,y,n,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,n,n,,
Cochlicopa lubrica,Glossy Pillar,Cionellidae,"(Muller, 1774) ",G5,"AB,BC,NB,NS,ON,QC,NF,AK,CA,CO,IA,ID,IL,IN,KS,MA,ME,MI,MN,MO,NC,NE,NH,NJ,NM,NY,OH,PA,RI,SD,TN,UT,VA,VT,WA,WI,WV",y,Fusiform,,"5,7.5","2.4,2.9","5.5,6",,n,y,n,n,n,,n,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Glossy.
Cochlicopa lubricella,Thin Pillar,Cionellidae,"(Porro, 1838) ",G5,"SD,TX,VA,VT,WI,WV,AB,NS,ON,CT,DE,IA,IL,IN,KS,MA,ME,MI,MN,MO,NJ,NY,OH,PA,RI",y,Fusiform,,",",",",",",,,,,,,,,,,,,n,,n,n,,,,n,n,n,n,,,,n,n,n,n,n,n,,,
Cochlicopa morseana,Appalachian Pillar,Cionellidae,"(Doherty, 1878) ",G5,"NY,OH,PA,SC,TN,VA,VT,WI,WV,NS,ON,AL,AR,CA,GA,IA,IN,KY,MA,MD,ME,MI,MN,MO,MS,NC",y,Fusiform,,"7,8",",",",",,,,,,,,,,,,,n,,n,n,,,,n,n,n,n,,,,n,n,n,n,n,n,,,Glossy.
Anguispira alternata,Flamed Disc,Discidae,"(Say, 1816) ",G5,"RI,SD,TN,VA,VT,WI,WV,NB,NS,ON,QC,AL,AR,CT,DE,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NY,OH,OK,PA",y,Heliciform,,",","15,30","4.5,6.5",,n,n,y,n,n,,n,,,,,n,y,n,n,y,y,y,n,n,n,y,,,,n,n,n,y,n,n,y,,Globose to moderately depressed.
Anguispira kochi,Banded Globe,Discidae,"(Pfeiffer, 1821) ",G5,"WV,BC,ON,ID,IL,IN,KY,MI,MO,MT,OH,OR,PA,TN,WA,WI",y,Heliciform,,"14,21","17,31","6,6",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,y,n,y,,
Discus catskillensis,Angular Disc,Discidae,"(Pilsbry, 1896) ",G5,"ON,CT,DE,IA,IN,KY,MA,MD,ME,MI,MN,MS,NH,NJ,NY,PA,RI,SD,TN,VA,VT,WI,WV,MB,NS",y,Depressed Heliciform,,",","5,5","4,4",,n,n,y,n,n,,n,,,,,n,y,n,n,y,y,n,n,n,n,n,,,,n,n,n,n,n,n,y,,
Discus macclintocki,Pleistocene Disc,Discidae,"(F.C Baker, 1928) ",G1,"IA,IL,MO",y,Heliciform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Discus marmorensis,Marbled Disc,Discidae,"H.B. Baker, 1932 ",G1G2,"IA,ID",y,Depressed Heliciform,,,"6.8,7",,,,,,,,,,,,,,,,,n,y,,,,n,,,,,,,,,y,,,,,
Discus patulus,Domed Disc,Discidae,"(Deshayes, 1830) ",G5,"NY,OH,PA,SC,TN,VA,WI,WV,ON,AL,FL,GA,IA,IL,IN,KY,LA,MD,MI,MO,MS,NC",y,Depressed Heliciform,,"3,4","7,9","5,5.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,n,n,n,y,,,,n,n,n,n,n,n,y,,Widest umbilicus of any Discus (except bryanti).
Discus shimekii,Striate Disc,Discidae,"(Pilsbry, 1890) ",G5,"AZ,CO,IA,IL,KS,MO,MT,NE,NM,OR,SD,UT,WY,AB,BC,YT",y,Depressed Heliciform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Discus whitneyi,Forest Disc,Discidae,"(Newcomb, 1864) ",G5,"AB,BC,NB,NS,QC,LB,NF,AK,AZ,AR,CA,CT,DE,IA,ID,IL,IN,KS,KY,MA,MD,ME,MI,MN,MO,MT,NC,ND,NE,NJ,NM,NY,OH,OK,PA,SD,TX,UT,VA,VT,WA,WI,WV",y,Depressed Heliciform,,"2.7,3.6","5,7","3.5,4.5",,n,n,y,n,n,,n,,,,,n,y,n,n,y,y,y,n,n,n,y,,,,n,n,n,n,n,n,y,,
Haplotrema concavum,Gray-Footed Lancetooth,Haplotrematidae,"(Say, 1821) ",G5,"WV,ON,QC,AL,AR,DE,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,NC,NH,NJ,NY,OH,OK,PA,SC,TN,TX,VA,VT,WI",y,Depressed Heliciform,,"5.3,9.6","11,22","4,5.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,n,n,,Irregularly striate. Sometimes has fine spiral lines. Glossy.
Euconulus fulvus,Brown Hive,Helicarionidae,"(Muller, 1774) ",G5,"VT,WA,WI,WV,AB,BC,NB,NS,ON,QC,NF,AK,CA,GA,IA,IL,IN,KS,KY,MA,MD,ME,MI,MN,MO,MT,NC,NE,NH,NJ,NM,NY,OH,OK,PA,SD,TN,TX,UT,VA,MS",y,Beehive,,"2,2.5","2.8,3.5","5.5,6",,y,n,n,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,y,,Sometimes shell has no visible shell navel (umbilicus) and the apertural whorl shows a slight blunt keel.
Euconulus chersinus,Wild Hive,Helicarionidae,"(Say, 1821) ",G5,"WI,NS,QC,AL,FL,GA,IL,KY,LA,ME,MI,MS,NC,NJ,OK,PA,SC,TN,VA",y,Beehive,,"2.2,3.5","2.4,3","6,8",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Guppya sterkii,Sterki's Granule,Helicarionidae,"(Dall, 1888) ",G5Q,"OH,OK,PA,SC,TN,VA,WI,WV,ON,AL,AR,FL,GA,IA,IL,IN,KY,LA,MD,MI,MO,MS,NC,NJ,NY",y,Depressed Heliciform,,"0.6,0.8","1.2,1.3","3.5,4",,n,y,n,n,n,,n,,,,,n,n,n,n,n,n,y,y,n,n,n,,,,n,n,n,n,n,n,y,,Spiral striae start at apex. Weak growth wrinkles.
Helicodiscus parallelus,Compound Coil,Helicodiscidae,"(Say, 1817) ",G5,"NS,ON,QC,NF,AL,AR,CT,DE,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NY,OH,OK,PA,RI,SC,TN,TX,VA,VT,WI,WV,NB",y,Discoidal,,"1,1.3","3.2,3.5","4,4.5",,n,n,y,n,n,,y,,,,,n,y,n,y,n,n,y,y,n,n,n,,,,n,n,n,n,n,n,y,,Spiral striae missing or weak from first 1.5 whorls.
Helicodiscus singleyanus,Smooth Coil,Helicodiscidae,"(Pilsbry, 1889) ",G5,"ON,AL,AR,CA,DE,IL,IN,KS,KY,LA,MD,MI,MO,NE,NJ,NM,NY,OH,OK,PA,TN,TX,VA,WI,WY",y,Depressed Heliciform,,,"2,3",,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Helicodiscus shimeki,Temperate Coil,Helicodiscidae,"Hubricht, 1962 ",G4G5,"TX,VA,VT,WI,WV,ON,CT,IA,IL,IN,KY,MA,MD,ME,MI,MN,NH,NY,PA",y,Discoidal,,"1.5,2","4,5","5,5.5",,,,,,,,,,,,,n,,n,y,,,,n,n,n,n,,,,n,n,n,n,n,n,y,,
Oreohelix strigosa,Rocky Mountainsnail,Oreohelicidae,"(Gould, 1846) ",G5,"AZ,ID,MT,NM,NV,OR,SD,UT,WA,WY,AB,BC",y,Heliciform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Allogona profunda,Broad-Banded Forestsnail,Polygyridae,"(Say, 1821) ",G5,"NC,NE,NY,OH,PA,TN,VA,WI,WV,ON,AL,AR,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS",y,Depressed Heliciform,,"14.8,17.1","25.5,32.7","5,5.5",,n,n,y,n,y,,y,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,y,n,n,n,s,n,n,,"Last whorl has thread-like striae, and close impressed spiral lines often punctate in places. Short callus or low tooth in basal margin."
Mesodon clausus,Yellow Globelet,Polygyridae,"(Say, 1821) ",G5,"ON,AL,AR,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,NC,NY,OH,OK,PA,TN,TX,VA,WI,WV",y,Globose Heliciform,,"10,13","13.6,18","5,5.5",,n,n,n,y,y,,n,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,n,,Umblicus is always only partially covered.
Mesodon elevatus,Proud Globe,Polygyridae,"(Say, 1821) ",G5,"VA,ON,AL,AR,IL,IN,KY,MI,MO,MS,NC,NY,OH,OK,TN",y,Globose Heliciform,,"14.5,20.2","19.3,26.3","6,7",,n,y,n,n,y,,y,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,n,,"Embryonic whorl has smooth tip, then finely striate."
Mesodon thyroidus,White-Lip Globe,Polygyridae,"(Say, 1816) ",G5,"TX,VA,WI,WV,ON,AL,AR,CT,DE,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,NC,NJ,NY,OH,OK,PA,SC,TN",y,Globose Heliciform,,"11.1,18.3","15,31","5,5.5",,n,n,n,y,y,,s,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,n,,"Usually has parietal tooth, but may be absent."
Mesodon zaletus,Toothed Globe,Polygyridae,"(A. Binney, 1837) ",G5,"NY,OH,OK,PA,TN,TX,VA,WI,WV,ON,QC,AL,AR,GA,IA,IL,IN,KY,LA,MD,MI,MO,MS,NC",y,Globose Heliciform,,"16.9,24.5","19,31","5.5,6",,n,y,n,n,y,,s,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,n,,"Parietal tooth usually present, but may be absent."
Neohelix alleni,Western Whitelip,Polygyridae,"(Sampson, 1883) ",G5,"AL,AR,IA,IL,KS,LA,MI,MN,MO,MS,OK,TN",y,Globose Heliciform,,"13.2,19","20,31","5.5,5.5",,n,y,n,n,y,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Patera appressa,Flat Bladetooth,Polygyridae,"(Say, 1821) ",G4,"IL,KY,MD,NC,OH,SC,VA,WV,AL,IN,TN",y,Depressed Heliciform,,"7,9","15,20","4,5",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,"The flattened shell of Patera appressa is decorated with coarse, radial striae beginning at the second whorl, and some scattered, microscopic papillae. Fine striae on the inner whorls are spaced at wide intervals. The shell comes to a sharp angle at the front periphery, but is less acute at the back. The aperture is wide and rounded, with a broad lip and a sharp rim inside the basal part of the opening. The umbilicus is covered."
Patera laevior,Smooth Bladetooth,Polygyridae,"(Pilsbry, 1940) ",G4,"AL,GA,IN,KY,MD,MS,NC,OH,TN,VA",y,Depressed Heliciform,,"7,9","15,18","4.5,5",,n,y,n,n,y,,y,,,,,n,y,n,n,y,y,n,n,n,y,n,,,,y,n,n,n,n,n,n,,Papillae are microscopic and form spiral lines towards the end of upper surface of the last whorl.
Patera pennsylvanica,Proud Globelet,Polygyridae,"(Green, 1827) ",G4,"IL,IN,KY,MI,MO,OH,PA,WV,TN,ON",y,Heliciform,,"10.2,15","15.2,20","5.5,6",,n,y,n,n,y,,n,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,n,,"First half whorl smooth, next half whorl closely striate below suture."
Stenotrema barbatum,Bristled Slitmouth,Polygyridae,"(G.H. Clapp, 1904) ",G5,"WV,ON,AL,CT,DE,GA,IA,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,NC,NJ,NY,OH,PA,SC,TN,VA,WI",y,Depressed Heliciform,,"5.5,7","7.5,11","5,5.5",,n,y,n,n,y,,y,,,,,n,n,y,n,n,n,y,n,n,n,n,,,,n,n,y,n,n,n,n,,"Stiff hairs about 0.5mm in length, widely spaced, cross the lines of growth at nearly a right angle. Width of the mouth is 1mm-- double S. stenotrema."
Stenotrema hirsutum,Hairy Slitmouth,Polygyridae,"(Say, 1817) ",G5,"OH,PA,TN,VA,WI,WV,IL,NS,ON,AL,CT,DE,IN,KS,KY,MA,MD,MI,MS,NC,NJ,NY",y,Depressed Heliciform,,"4.3,5.7","6.2,9.6","5,5.5",,n,y,n,n,y,,y,,,,,n,n,y,n,n,n,y,n,n,n,n,,,,y,n,y,n,n,n,n,,
Stenotrema labrosum,Ozark Slitmouth,Polygyridae,"(Bland, 1862) ",G3G4,"AR,IA,LA,MO,OK",y,Depressed Heliciform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Webbhelix multilineata,Striped Whitelip,Polygyridae,"(Say, 1821) ",G5,"PA,WI,WV,TN,ON,AR,IA,IL,IN,KS,KY,MD,MI,MN,MO,NE,NY,OH",y,Heliciform,,"14,18.5","21,30","5.5,6",,n,y,n,n,y,,s,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,y,n,n,,"Usually without parietal tooth. Sometimes without color bands. Rather glossy. First 1.5 whorls smooth, then fine oblique striae with weakly spiral engraved lines in their intervals."
Xolotrema fosteri,Bladetooth Wedge,Polygyridae,"(F.C. Baker, 1921) ",G5,"TN,TX,WI,AL,AR,DE,GA,IA,IL,IN,KY,LA,MD,MO,NJ,OH",y,Depressed Heliciform,,"8,11","14,20.4","5,5",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,"Aperture: oval, lunate; parietal lamella long, curved, narrowly separated or attached to axial callus, outer lip with a low lamella, often missing; basal lip with a thickened ridge forming a low lamella; peristome reflected, thickened within, channeled behind; parietal callus thin and translucent, leading edge “S”-shaped, wrapping around axial callus. Surface: rather dull; embryonic whorls with fine axial lines, portions smooth; later whorls with prominent axial ridges; spiral lines very fine, less distinct on base. Color: light yellowish brown, brighter yellow behind lip; lip white."
Euchemotrema fraternum,Upland Pillsnail,Polygyridae,"(Say, 1824) ",G5,"TN,VA,VT,WI,WV,NB,NS,ON,AL,AR,CT,DE,GA,IA,IL,IN,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NH,NJ,NY,OH,OK,PA,RI,SC",y,Heliciform,,"5.6,7","7.8,10.5","5,6",,n,y,n,y,y,,y,,,,,n,n,y,n,y,y,n,n,n,n,n,,,,y,n,y,n,n,n,n,,Parietal tooth turned to thickened basal lp.
Euchemotrema leai leai,Lowland Pillsnail,Polygyridae,"(A. Binney, 1841) ",G5,"NB,ON,QC,AL,AR,GA,IA,IL,IN,KS,KY,LA,ME,MI,MN,MO,MS,NE,NY,OH,OK,PA,SD,TN,TX,VA,WI",y,Heliciform,,"3.9,5.7","6.1,9.4","5.5,6.5",,y,n,n,y,y,,y,,,,,n,n,y,n,y,y,n,n,n,n,n,,,,n,n,y,n,n,n,n,,The entire profile of this may be wrong. Need more research.
Euchemotrema leai aliciae,Lowland Pillsnail,Polygyridae,"(A. Binney, 1841) ",G5,"NB,ON,QC,AL,AR,GA,IA,IL,IN,KS,KY,LA,ME,MI,MN,MO,MS,NE,NY,OH,OK,PA,SD,TN,TX,VA,WI",y,Heliciform,,"3.9,4.7","7.3,7.8","5.5,6",,n,n,n,y,,,y,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Punctum minutissimum,Small Spot,Punctidae,"(I. Lea, 1841) ",G5,"PA,SC,SD,TN,TX,UT,VA,VT,WI,WV,AB,NB,NS,ON,QC,NF,AL,AR,CA,CO,DE,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NM,NY,OH,OK,OR",y,Heliciform,,"0.65,1","1.1,1.5","3.5,4.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,n,y,,,,n,n,n,n,n,n,y,,"First 1 1/2 whorls are smooth, then has closely spaced ribs and spiral striae"
Punctum vitreum,Glass Spot,Punctidae,"(H.B. Baker, 1930) ",G5,"PA,TN,TX,VA,WI,WV,AL,AR,DE,IA,IL,IN,KY,LA,MD,MN,MO,MS,NC,NJ,OK",y,Heliciform,,"0.75,0.95","1.2,1.4","4,4.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,n,y,,,,n,n,n,n,n,n,y,,First whorl irregularly wrinkled. Last 3/4 embryonic whorl spiral striae become more distinct.
Gastrocopta abbreviata,Plains Snaggletooth,Pupillidae,"(Sterki, 1909) ",G4,"AL,IA,IL,KS,LA,MN,MO,MS,ND,NE,OK,SD,TX,WI",y,Pupa,,",",",",",",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Gastrocopta armifera,Armed Snaggletooth,Pupillidae,"(Say, 1821) ",G5,"VA,VT,WI,WV,QC,AL,AR,DE,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,NC,ND,NE,NJ,NM,NY,OH,OK,PA,SC,SD,TN,TX",y,Pupa,,"3,4.8",",","6.5,7.5",,y,n,n,y,y,,y,,,,,n,,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,
Gastrocopta contracta,Bottleneck Snaggletooth,Pupillidae,"(Say, 1822) ",G5,"TX,VA,VT,WI,WV,ON,QC,AL,AR,DE,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NE,NJ,NM,NY,OH,OK,PA,SC,SD,TN",y,Pupa,,"2.2,2.5","1.2,1.4","5.5,5.5",,n,n,n,y,y,,y,,,,,y,n,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,n,n,,Ovate-conic. Aperture almost closed by teeth.
Gastrocopta corticaria,Bark Snaggletooth,Pupillidae,"(Say, 1816) ",G5,"NB,ON,QC,AL,CT,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,NC,NE,NJ,NY,OH,OK,PA,TN,TX,VA,VT,WI,WV",y,Pupa,,"2.5,2.5","1,1","5.5,5.5",,n,n,n,y,y,,y,,,,,y,n,n,n,,,,n,n,y,n,,,,n,n,n,n,n,n,n,,Transverse Striae weak. Only 2 teeth.
Gastrocopta cristata,Crested Snaggletooth,Pupillidae,"(Pilsbry and Vanatta, 1900) ",G5,"AZ,CO,DE,KS,LA,MD,MO,NJ,NM,OK,TX,VA",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Gastrocopta holzingeri,Lambda Snaggletooth,Pupillidae,"(Sterki, 1889) ",G5,"OK,SD,TN,TX,VA,WI,WV,BC,ON,QC,AR,IA,IL,IN,KS,KY,MI,MN,MO,NC,ND,NE,NM,NY,OH",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Gastrocopta pentodon,Comb Snaggletooth,Pupillidae,"(Say, 1822) ",G5,"VA,VT,WI,WV,AB,NS,ON,QC,AL,AR,CA,DE,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NJ,NY,OH,OK,PA,SC,SD,TN,TX",y,Pupa,,"1.5,1.8","0.8,1.1","5,5",,,,,,,,,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Typically 5 teeth.
Gastrocopta procera,Wing Snaggletooth,Pupillidae,"(Gould, 1840) ",G5,"NM,NY,OH,OK,SC,SD,TN,TX,VA,WI,AL,AR,FL,GA,IA,IL,IN,KS,KY,LA,MD,MO,MS,NC,NE",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Gastrocopta riograndensis,Rio Grande Snaggletooth,Pupillidae,"(Pilsbry, 1916) ",GH,TX,y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Gastrocopta rogersensis,Roger's Snaggletooth,Pupillidae,"Nekola and Coles, 2001 ",G3G4,"AR,IA,IL,MO,WI",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Gastrocopta similis,Great Lakes Snaggletooth,Pupillidae,"(Sterki, 1909) ",G5,"AB,ON,IA,IL,IN,KS,KY,MI,MN,MO,ND,NY,OH,SD,WI",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Gastrocopta tappaniana,White Snaggletooth,Pupillidae,"(C.B. Adams, 1842) ",G5,"AB,ON,AL,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NJ,NY,OH,OK,PA,SC,SD,TN,TX,VA,WI,WV",y,Pupa,,"1.7,2","1.1,1.2","5,5.5",,,,,,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Eight teeth
Pupilla blandi,Rocky Mountain Column,Pupillidae,"E.S. Morse, 1865 ",G4,"KS,MO,ND,NE,NM,SD,TX,UT",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Pupilla muscorum,Widespread Column,Pupillidae,"(Linnaeus, 1758) ",G5,"OK,SD,TX,UT,VA,VT,WI,WV,AB,NF,NS,ON,QC,IA,IL,KS,MA,MD,ME,MI,MN,MO,ND,NE,NJ,NM,NY,OH",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Pupoides albilabris,White-Lip Dagger,Pupillidae,"(C.B. Adams, 1841) ",G5,"UT,VA,VT,WI,WV,ON,QC,AL,AR,CA,DE,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,NC,NE,NJ,NM,NY,OH,OK,PA,RI,SC,SD,TN,TX",y,Pupa,,"4.2,5","2,2.2","6,6.5",,y,n,n,y,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,
Vertigo binneyana,Cylindrical Vertigo,Pupillidae,"Sterki, 1890 ",G1,"IA,KS,MT,NM,WI,AB,BC,MB,ON",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
