LatinName,CommonName,Family,Shape,HeightLow,HeightHigh,WidthLow,WidthHigh,WhorlsLow,WhorlsHigh,WhorlIncrease,Perforate,Umbilicate,Rimate,Imperforate,LipReflected,teeth,Flattened,Shouldered,ModShouldered,Rounded,Ovate,Slit,Lunate,Truncated,Sutures,Transverse,Spiral,Lirate,Ribs,Papillae,Puncta,Hairs,Blotches,Bands,Operculum,Eyes,Pedal,Flavor,SnailID,Notes,Pilsbry,Discoverer,HasImages
Helicina clappi,,Helicinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hendersonia occulta,Cherrystone Drop,Helicinidae,Helicoid,4.1,6,6,8,4.5,5,Slowly,n,n,n,y,y,n,n,y,y,n,n,n,y,n,,n,y,n,n,n,n,n,n,n,y,s,n,Sn,1,An operculate snail with sessile eyes.,,Say\123 1831,n
Lucidella tantilla,,Helicinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligyra orbiculata,,Helicinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomatiopsis cincinnatiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freshwater snail,,,
Pomatiopsis lapidaria,Slender Walker,Pomatiopsidae,Conical,,,,,,,,,,,,,,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,,Sn,2,,,Say\123 1817,n
Carychium clappi,Appalacian Thorn,Carychiidae,Pupa,1.9,2.1,,,4.5,4.5,,n,n,y,n,y,y,y,n,n,n,y,n,n,n,,y,n,n,n,n,n,n,n,n,n,s,n,Sn,3,,,Hubricht\123 1959,n
Carychium exiguum,Obese Thorn,Carychiidae,Pupa,1.8,2,0.7,0.8,4.5,4.5,,n,n,y,n,y,y,n,n,n,y,y,n,n,n,,y,n,n,n,n,n,n,n,n,y,s,n,Sn,3.1,,,Say\123 1822,n
Carychium exile,Ice Thorn,Carychiidae,Pupa,1.7,1.75,0.6,0.6,5,5.5,Regular,n,n,y,n,y,y,n,n,n,y,y,n,n,n,,y,n,n,n,n,n,n,n,n,n,s,n,Sn,4,,,I. Lea\123 1842,n
Carychium nannodes,File Thorn,Carychiidae,Pupa,1.3,1.5,0.4,0.5,4.5,5,Regular,n,n,y,n,y,y,n,n,y,n,y,n,n,n,Deep,n,n,n,n,n,n,n,n,n,n,s,n,Sn,6,,,G.H. Clapp\123 1905,n
Cochlicopa lubrica,Glossy Pillar,Cionellidae,Fusiform,5,7.5,2.4,2.9,5.5,6,,n,n,n,y,n,n,n,n,n,y,y,n,n,n,,n,n,n,n,n,n,n,n,n,n,i,n,Sn,7,Glossy.,,Müller\123 1774,y
Cochlicopa lubricella,Thin Pillar,Cionellidae,Fusiform,,,,,,,,,,,,,,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,,Sn,8,,,Porro\123 1838,n
Cochlicopa morseana,Appalacian Pillar,Cionellidae,Fusiform,7,8,,,,,,,,,,,,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,,Sn,9,Glossy.,,Doherty\123 1878,n
Cochlicopa nitens,Robust Pillar,Cionellidae,Fusiform,,,,,,,,,,,,,,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,,Sn,10,,,Gallenstein\123 1848,n
Planogyra asteriscus,,Valloniidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallonia costata,Ribbed Vallonia,Valloniidae,Depressed Heliciform,2.5,3,1,1.2,3.5,3.5,Rapid,n,y,n,n,y,n,,,,,n,n,,n,,n,y,n,y,n,n,n,n,n,n,i,n,Sn,11,,,Müller\123 1774,n
